date,numrides
2017-01-01,16009
2017-01-02,8921
2017-01-03,14198
2017-01-04,34039
2017-01-05,28393
2017-01-06,24177
2017-01-07,4425
2017-01-08,6417
2017-01-09,15856
2017-01-10,23232
2017-01-11,32419
2017-01-12,39783
2017-01-13,33611
2017-01-14,13819
2017-01-15,17384
2017-01-16,24110
2017-01-17,18646
2017-01-18,30857
2017-01-19,36561
2017-01-20,26752
2017-01-21,26610
2017-01-22,20523
2017-01-23,15822
2017-01-24,13171
2017-01-25,36931
2017-01-26,33002
2017-01-27,32394
2017-01-28,21302
2017-01-29,22527
2017-01-30,29616
2017-01-31,25169
2017-02-01,35221
2017-02-02,34517
2017-02-03,29632
2017-02-04,19204
2017-02-05,20059
2017-02-06,33415
2017-02-07,23053
2017-02-08,40428
2017-02-10,1997
2017-02-11,8959
2017-02-12,5801
2017-02-13,23857
2017-02-14,29668
2017-02-15,32052
2017-02-16,29120
2017-02-17,28735
2017-02-18,30571
2017-02-19,36963
2017-02-20,32292
2017-02-21,32643
2017-02-22,38119
2017-02-23,42434
2017-02-24,47031
2017-02-25,33343
2017-02-26,24714
2017-02-27,35984
2017-02-28,41835
2017-03-01,40592
2017-03-02,35739
2017-03-03,31105
2017-03-04,15646
2017-03-05,15919
2017-03-06,32467
2017-03-07,29683
2017-03-08,43469
2017-03-09,45252
2017-03-10,18412
2017-03-11,15185
2017-03-12,13442
2017-03-13,27417
2017-03-17,7098
2017-03-18,4106
2017-03-19,10550
2017-03-20,27378
2017-03-21,36824
2017-03-22,26927
2017-03-23,29885
2017-03-24,34018
2017-03-25,29646
2017-03-26,19893
2017-03-27,26301
2017-03-28,21589
2017-03-29,42430
2017-03-30,39746
2017-03-31,6946
2017-04-01,23849
2017-04-02,39780
2017-04-03,43485
2017-04-04,29991
2017-04-05,47636
2017-04-06,18020
2017-04-07,35779
2017-04-08,35936
2017-04-09,43896
2017-04-10,50424
2017-04-11,57310
2017-04-12,51188
2017-04-13,52915
2017-04-14,52232
2017-04-15,42531
2017-04-16,48140
2017-04-17,53247
2017-04-18,53809
2017-04-19,45787
2017-04-20,44264
2017-04-21,39868
2017-04-22,34596
2017-04-23,49107
2017-04-24,48692
2017-04-25,20332
2017-04-26,37727
2017-04-27,52035
2017-04-28,62199
2017-04-29,57701
2017-04-30,42928
2017-05-01,56218
2017-05-02,61207
2017-05-03,59252
2017-05-04,57429
2017-05-05,24009
2017-05-06,46618
2017-05-07,34293
2017-05-08,51553
2017-05-09,56461
2017-05-10,58454
2017-05-11,57208
2017-05-12,56675
2017-05-13,5704
2017-05-14,38729
2017-05-15,54715
2017-05-16,64504
2017-05-17,65794
2017-05-18,63753
2017-05-19,62143
2017-05-20,47859
2017-05-21,54874
2017-05-22,24627
2017-05-23,60032
2017-05-24,60622
2017-05-25,17495
2017-05-26,53768
2017-05-27,46534
2017-05-28,46727
2017-05-29,26322
2017-05-30,50194
2017-05-31,59495
2017-06-01,67403
2017-06-02,66907
2017-06-03,56264
2017-06-04,40138
2017-06-05,55883
2017-06-06,41268
2017-06-07,64453
2017-06-08,62653
2017-06-09,66506
2017-06-10,57087
2017-06-11,51427
2017-06-12,57871
2017-06-13,60921
2017-06-14,60513
2017-06-15,64763
2017-06-16,56403
2017-06-17,34900
2017-06-18,49472
2017-06-19,38310
2017-06-20,64673
2017-06-21,67218
2017-06-22,66308
2017-06-23,55323
2017-06-24,52153
2017-06-25,54655
2017-06-26,62669
2017-06-27,64767
2017-06-28,67752
2017-06-29,64272
2017-06-30,58662
2017-07-01,36737
2017-07-02,43036
2017-07-03,48193
2017-07-04,49924
2017-07-05,60321
2017-07-06,62147
2017-07-07,44068
2017-07-08,55015
2017-07-09,57118
2017-07-10,60907
2017-07-11,61671
2017-07-12,61786
2017-07-13,56475
2017-07-14,31851
2017-07-15,56499
2017-07-16,56833
2017-07-17,62555
2017-07-18,66234
2017-07-19,63915
2017-07-20,59663
2017-07-21,60072
2017-07-22,48011
2017-07-23,46942
2017-07-24,43792
2017-07-25,65336
2017-07-26,70323
2017-07-27,65769
2017-07-28,63899
2017-07-29,52947
2017-07-30,59342
2017-07-31,64218
2017-08-01,66677
2017-08-02,56184
2017-08-03,66149
2017-08-04,56394
2017-08-05,58971
2017-08-06,56476
2017-08-07,23395
2017-08-08,65233
2017-08-09,67884
2017-08-10,66249
2017-08-11,63140
2017-08-12,60540
2017-08-13,57518
2017-08-14,61482
2017-08-15,52461
2017-08-16,68436
2017-08-17,66656
2017-08-18,36620
2017-08-19,62442
2017-08-20,55442
2017-08-21,61059
2017-08-22,60541
2017-08-23,65070
2017-08-24,66307
2017-08-25,64217
2017-08-26,50109
2017-08-27,54598
2017-08-28,60886
2017-08-29,35152
2017-08-30,65329
2017-08-31,64881
2017-09-01,54881
2017-09-02,37812
2017-09-03,30955
2017-09-04,55285
2017-09-05,65445
2017-09-06,42295
2017-09-07,69519
2017-09-08,69574
2017-09-09,60155
2017-09-10,60711
2017-09-11,71917
2017-09-12,74580
2017-09-13,69566
2017-09-14,72071
2017-09-15,72297
2017-09-16,61036
2017-09-17,59967
2017-09-18,64130
2017-09-19,57910
2017-09-20,71150
2017-09-21,67742
2017-09-22,70127
2017-09-23,62687
2017-09-24,57458
2017-09-25,69200
2017-09-26,71518
2017-09-27,69897
2017-09-28,70883
2017-09-29,67177
2017-09-30,50153
2017-10-01,55505
2017-10-02,65511
2017-10-03,69105
2017-10-04,71454
2017-10-05,70174
2017-10-06,70257
2017-10-07,63635
2017-10-08,41044
2017-10-09,38391
2017-10-10,74118
2017-10-11,63589
2017-10-12,61248
2017-10-13,67020
2017-10-14,58777
2017-10-15,56529
2017-10-16,61730
2017-10-17,64480
2017-10-18,70234
2017-10-19,72311
2017-10-20,72173
2017-10-21,65874
2017-10-22,62150
2017-10-23,69274
2017-10-24,48077
2017-10-25,71287
2017-10-26,64003
2017-10-27,69268
2017-10-28,61348
2017-10-29,9537
2017-10-30,49247
2017-10-31,60242
2017-11-01,60773
2017-11-02,70810
2017-11-03,71818
2017-11-04,53435
2017-11-05,34943
2017-11-06,57606
2017-11-07,36362
2017-11-08,54211
2017-11-09,58417
2017-11-10,38432
2017-11-11,28142
2017-11-12,32471
2017-11-13,38753
2017-11-14,52279
2017-11-15,54230
2017-11-16,49737
2017-11-17,48991
2017-11-18,27745
2017-11-19,31598
2017-11-20,45121
2017-11-21,52451
2017-11-22,32298
2017-11-23,13705
2017-11-24,23724
2017-11-25,30518
2017-11-26,27181
2017-11-27,46733
2017-11-28,51170
2017-11-29,55295
2017-11-30,51700
2017-12-01,50708
2017-12-02,38923
2017-12-03,33728
2017-12-04,49630
2017-12-05,41792
2017-12-06,46335
2017-12-07,45367
2017-12-08,41330
2017-12-09,10804
2017-12-10,19815
2017-12-11,41838
