"ssid","sslon","sslat","esid","eslon","eslat","ssaddress","esaddress","numroute","routeid","lat","lon"
432,-73.98379855,40.72621788,3263,-73.990752696991,40.7295149622495,"E 7 St & Avenue A, New York, NY","Cooper Square & Astor Pl, New York, NY",1545,"1",40.72606,-73.98354
432,-73.98379855,40.72621788,3263,-73.990752696991,40.7295149622495,"E 7 St & Avenue A, New York, NY","Cooper Square & Astor Pl, New York, NY",1545,"1",40.72706,-73.98598
432,-73.98379855,40.72621788,3263,-73.990752696991,40.7295149622495,"E 7 St & Avenue A, New York, NY","Cooper Square & Astor Pl, New York, NY",1545,"1",40.72796,-73.98813
432,-73.98379855,40.72621788,3263,-73.990752696991,40.7295149622495,"E 7 St & Avenue A, New York, NY","Cooper Square & Astor Pl, New York, NY",1545,"1",40.7287,-73.98982
432,-73.98379855,40.72621788,3263,-73.990752696991,40.7295149622495,"E 7 St & Avenue A, New York, NY","Cooper Square & Astor Pl, New York, NY",1545,"1",40.72894,-73.99037
432,-73.98379855,40.72621788,3263,-73.990752696991,40.7295149622495,"E 7 St & Avenue A, New York, NY","Cooper Square & Astor Pl, New York, NY",1545,"1",40.72867,-73.99057
432,-73.98379855,40.72621788,3263,-73.990752696991,40.7295149622495,"E 7 St & Avenue A, New York, NY","Cooper Square & Astor Pl, New York, NY",1545,"1",40.72843,-73.99073
2006,-73.97634151,40.76590936,2006,-73.97634151,40.76590936,"Central Park S & 6 Ave, New York, NY","Central Park S & 6 Ave, New York, NY",1068,"2",40.76619,-73.9773
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.74397,-73.99932
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.74402,-73.99943
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.74463,-73.99898
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.74531,-73.99847
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.74714,-73.99715
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.74905,-73.99575
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.74986,-73.99516
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.75028,-73.99483
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.75146,-73.99399
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.75232,-73.99336
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.75379,-73.99229
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.75595,-73.99072
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.75687,-73.99008
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.75813,-73.98914
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76011,-73.98768
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76138,-73.98676
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76177,-73.98649
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76263,-73.98586
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76354,-73.98519
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76417,-73.98474
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.7652,-73.98399
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76678,-73.98284
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76743,-73.98237
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76772,-73.9821
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.7677,-73.98198
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.7677,-73.98178
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76771,-73.9817
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.7678,-73.98158
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.7679,-73.98148
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76798,-73.98143
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76808,-73.9814
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76817,-73.98141
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.7683,-73.9815
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76836,-73.98158
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76839,-73.98167
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76856,-73.98195
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76858,-73.98197
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76862,-73.98199
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76876,-73.982
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.7689,-73.982
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76894,-73.98221
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76899,-73.98233
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.7691,-73.9826
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76931,-73.9831
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76976,-73.98414
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76981,-73.98423
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76988,-73.98431
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76953,-73.98455
435,-73.99415556,40.74173969,509,-74.00197139,40.7454973,"W 21 St & 6 Ave, New York, NY","9 Ave & W 22 St, New York, NY",928,"4",40.76921,-73.98477
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76619,-73.9773
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7668,-73.97875
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76689,-73.97896
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76697,-73.97891
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.767,-73.97886
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76713,-73.97869
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76718,-73.97858
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76722,-73.97849
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76725,-73.9785
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76737,-73.97851
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76742,-73.9785
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76751,-73.97841
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76755,-73.97834
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76746,-73.97813
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76737,-73.97792
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76728,-73.97768
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76721,-73.97737
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76718,-73.97714
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76718,-73.97688
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7672,-73.97673
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76723,-73.97662
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76731,-73.97649
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76747,-73.9763
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76758,-73.97621
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76799,-73.97597
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7686,-73.97561
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76881,-73.97548
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76912,-73.97525
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76936,-73.97505
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76947,-73.97493
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76978,-73.97451
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76987,-73.97424
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76991,-73.97388
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76988,-73.97358
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76983,-73.97339
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76971,-73.97314
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7696,-73.97289
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76954,-73.9727
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76952,-73.97235
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76953,-73.97224
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76961,-73.97198
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76975,-73.97169
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76994,-73.97141
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77019,-73.97121
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77069,-73.97093
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77086,-73.9708
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77099,-73.97066
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7711,-73.97049
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77123,-73.97023
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77143,-73.96981
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77155,-73.9696
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77173,-73.96935
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77195,-73.96919
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77228,-73.969
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77243,-73.96892
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77255,-73.96883
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77267,-73.96866
