tot,date
6294709,2020-07-18
6055526,2020-07-11
5904331,2020-07-04
5314568,2020-06-27
4737062,2020-06-20
3998493,2020-06-13
3470036,2020-06-06
3527343,2020-05-30
3191110,2020-05-23
3006103,2020-05-16
2733833,2020-05-09
2548002,2020-05-02
2389808,2020-04-25
2494256,2020-04-18
2988733,2020-04-11
4287692,2020-04-04
10374373,2020-03-28
25318607,2020-03-21
30048172,2020-03-14
30768135,2020-03-07
27479496,2020-02-29
30848304,2020-02-22
30808972,2020-02-15
30458873,2020-02-08
27859073,2020-02-01
30463850,2020-01-25
30367054,2020-01-18
25143433,2020-01-11
23240709,2020-01-04
33377699,2019-12-28
34087458,2019-12-21
32438055,2019-12-14
26672648,2019-12-07
33295755,2019-11-30
32478264,2019-11-23
33942064,2019-11-16
33521805,2019-11-09
33830376,2019-11-02
32558105,2019-10-26
32632030,2019-10-19
32294512,2019-10-12
34225415,2019-10-05
33812444,2019-09-28
33574916,2019-09-21
28683599,2019-09-14
29454144,2019-09-07
28914092,2019-08-31
29973029,2019-08-24
30468991,2019-08-17
30671058,2019-08-10
30198509,2019-08-03
31010877,2019-07-27
30611946,2019-07-20
27532894,2019-07-13
32485700,2019-07-06
32248656,2019-06-29
32768548,2019-06-22
32574378,2019-06-15
29624350,2019-06-08
33184314,2019-06-01
32734889,2019-05-25
33059548,2019-05-18
33042199,2019-05-11
30379787,2019-05-04
32571335,2019-04-27
33144562,2019-04-20
32953012,2019-04-13
32395405,2019-04-06
32171934,2019-03-30
32496488,2019-03-23
31032100,2019-03-16
31406559,2019-03-09
28206786,2019-03-02
31099690,2019-02-23
31378467,2019-02-16
30158563,2019-02-09
26988108,2019-02-02
30170256,2019-01-26
30120797,2019-01-19
26264467,2019-01-12
22530327,2019-01-05
32593581,2018-12-29
33750535,2018-12-22
33871058,2018-12-15
32440126,2018-12-08
26681385,2018-12-01
32304471,2018-11-24
33391259,2018-11-17
33077607,2018-11-10
33593915,2018-11-03
33420481,2018-10-27
32191227,2018-10-20
33384505,2018-10-13
33174195,2018-10-06
32213029,2018-09-29
31192848,2018-09-22
28479112,2018-09-15
29062312,2018-09-08
28546940,2018-09-01
28954946,2018-08-25
29914206,2018-08-18
30457595,2018-08-11
30480595,2018-08-04
30882216,2018-07-28
30864844,2018-07-21
26187374,2018-07-14
31813962,2018-07-07
32281233,2018-06-30
32470934,2018-06-23
32591427,2018-06-16
28986078,2018-06-09
8852873,2018-06-02
32867725,2018-05-26
33559489,2018-05-19
33577241,2018-05-12
33276621,2018-05-05
32914925,2018-04-28
32690966,2018-04-21
30221601,2018-04-14
32231597,2018-04-07
29934358,2018-03-31
32634321,2018-03-24
30871880,2018-03-17
31260758,2018-03-10
28277292,2018-03-03
31182636,2018-02-24
31469840,2018-02-17
31477403,2018-02-10
30808181,2018-02-03
28693208,2018-01-27
30138450,2018-01-20
23908673,2018-01-13
22759684,2018-01-06
32990338,2017-12-30
33449618,2017-12-23
34486006,2017-12-16
33090843,2017-12-09
27415423,2017-12-02
33744835,2017-11-25
33585957,2017-11-18
33811530,2017-11-11
34244650,2017-11-04
34209092,2017-10-28
32408081,2017-10-21
33824742,2017-10-14
34081235,2017-10-07
32954016,2017-09-30
34197012,2017-09-23
29170386,2017-09-16
30031997,2017-09-09
29531792,2017-09-02
30081916,2017-08-26
30848064,2017-08-19
31292116,2017-08-12
31508551,2017-08-05
31909460,2017-07-29
31560292,2017-07-22
26612809,2017-07-15
32501241,2017-07-08
32496926,2017-07-01
33454302,2017-06-24
33590201,2017-06-17
29481189,2017-06-10
33497240,2017-06-03
33710001,2017-05-27
33971740,2017-05-20
33938160,2017-05-13
34090939,2017-05-06
32702733,2017-04-29
31864947,2017-04-22
33851536,2017-04-15
33416375,2017-04-08
33790174,2017-04-01
29176692,2017-03-25
33120189,2017-03-18
32959870,2017-03-11
29981581,2017-03-04
32669323,2017-02-25
30085383,2017-02-18
32519917,2017-02-11
31580625,2017-02-04
9299155,2017-01-28
31245733,2017-01-21
29048426,2017-01-14
25068960,2017-01-07
